ID: 5692549928996306944, Position: (-14.023874282836914, -5.622905254364014, 1.5380281209945679), Name: building, Bounding Box: {'max': [-11.921314239501953, -4.594406604766846, 2.049999952316284], 'min': [-16.39806365966797, -6.827144145965576, -0.9522166848182678], 'type': 'AABB', 'world_P_center': [-14.159688949584961, -5.710775375366211, 0.5488916635513306], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306946, Position: (-19.800983428955078, -15.450148582458496, 1.0417706966400146), Name: building, Bounding Box: {'max': [-19.087295532226562, -15.251792907714844, 1.091914415359497], 'min': [-20.450000762939453, -15.594674110412598, 0.8909022212028503], 'type': 'AABB', 'world_P_center': [-19.768648147583008, -15.423233032226562, 0.9914083480834961], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306947, Position: (-16.278841018676758, -4.730981826782227, -1.0539801120758057), Name: pole, Bounding Box: {'max': [-16.203641891479492, -4.606890678405762, -0.6499999761581421], 'min': [-16.399505615234375, -4.859002113342285, -1.3538142442703247], 'type': 'AABB', 'world_P_center': [-16.30157470703125, -4.732946395874023, -1.0019071102142334], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306948, Position: (-18.478012084960938, -17.89936637878418, 0.4062342643737793), Name: building, Bounding Box: {'max': [-18.073198318481445, -17.400875091552734, 1.2855198383331299], 'min': [-19.450000762939453, -18.149999618530273, -1.1726512908935547], 'type': 'AABB', 'world_P_center': [-18.761600494384766, -17.775436401367188, 0.0564342737197876], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306951, Position: (-19.4006290435791, -17.179349899291992, 1.2258604764938354), Name: building, Bounding Box: {'max': [-18.073198318481445, -15.904133796691895, 1.2889772653579712], 'min': [-20.250001907348633, -17.950000762939453, 1.0707672834396362], 'type': 'AABB', 'world_P_center': [-19.16160011291504, -16.927066802978516, 1.1798722743988037], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306952, Position: (-19.590015411376953, -4.325288772583008, 1.083990454673767), Name: pole, Bounding Box: {'max': [-19.5130558013916, -4.206711769104004, 2.75], 'min': [-19.7871150970459, -4.450000286102295, 0.040429942309856415], 'type': 'AABB', 'world_P_center': [-19.65008544921875, -4.32835578918457, 1.3952149152755737], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306953, Position: (-55.342777252197266, -101.41925048828125, -0.4660954177379608), Name: vehicle, Bounding Box: {'max': [-54.803462982177734, -100.53821563720703, -0.00012037530541419983], 'min': [-56.45000457763672, -103.55000305175781, -1.25], 'type': 'AABB', 'world_P_center': [-55.626731872558594, -102.04411315917969, -0.6250602006912231], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306954, Position: (-54.88334274291992, -103.6000747680664, -0.6126646995544434), Name: building, Bounding Box: {'max': [-54.76512908935547, -102.6500015258789, -0.30210763216018677], 'min': [-55.25, -104.29999542236328, -1.149999976158142], 'type': 'AABB', 'world_P_center': [-55.007564544677734, -103.4749984741211, -0.7260538339614868], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306955, Position: (-54.829811096191406, -104.15536499023438, -1.0120224952697754), Name: vehicle, Bounding Box: {'max': [-54.742164611816406, -103.75, -0.5022964477539062], 'min': [-55.150001525878906, -104.46488189697266, -1.2849081754684448], 'type': 'AABB', 'world_P_center': [-54.946083068847656, -104.10743713378906, -0.8936023116111755], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306956, Position: (-38.6324577331543, -99.62937927246094, -1.1128532886505127), Name: building, Bounding Box: {'max': [-30.149999618530273, -96.25, -1.0018210411071777], 'min': [-44.25, -105.25, -1.223530888557434], 'type': 'AABB', 'world_P_center': [-37.20000076293945, -100.75, -1.1126759052276611], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306958, Position: (-43.607872009277344, -106.87678527832031, -1.2392500638961792), Name: building, Bounding Box: {'max': [-42.55000305175781, -105.25, -1.2004517316818237], 'min': [-44.95000457763672, -108.37962341308594, -1.25], 'type': 'AABB', 'world_P_center': [-43.750003814697266, -106.81481170654297, -1.2252259254455566], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
