ID: 5692549928996306959, Position: (-57.93418884277344, -99.90426635742188, 0.17881982028484344), Name: building, Bounding Box: {'max': [-57.776702880859375, -98.99121856689453, 1.9500000476837158], 'min': [-58.08837127685547, -101.6500015258789, -1.4500000476837158], 'type': 'AABB', 'world_P_center': [-57.93253707885742, -100.32061004638672, 0.25], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306960, Position: (-57.46464538574219, -95.47342681884766, 1.0839236974716187), Name: building, Bounding Box: {'max': [-57.340599060058594, -95.1500015258789, 1.75], 'min': [-57.56584930419922, -95.65642547607422, 0.7500000596046448], 'type': 'AABB', 'world_P_center': [-57.453224182128906, -95.40321350097656, 1.25], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306961, Position: (-54.75786209106445, -103.10948944091797, -0.8753845691680908), Name: object, Bounding Box: {'max': [-54.718475341796875, -102.3499984741211, -0.6062697172164917], 'min': [-54.79513168334961, -103.6500015258789, -1.0874249935150146], 'type': 'AABB', 'world_P_center': [-54.756805419921875, -103.0, -0.8468473553657532], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306962, Position: (-57.481021881103516, -100.3938980102539, 2.3329763412475586), Name: building, Bounding Box: {'max': [-57.32272720336914, -99.45000457763672, 2.4499998092651367], 'min': [-57.75, -101.3271713256836, 2.2053258419036865], 'type': 'AABB', 'world_P_center': [-57.53636169433594, -100.38858795166016, 2.327662944793701], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306963, Position: (-55.145240783691406, -103.2516098022461, -0.2082219421863556), Name: building, Bounding Box: {'max': [-54.78063201904297, -102.44999694824219, -0.00653805211186409], 'min': [-55.45000076293945, -104.18624114990234, -0.550000011920929], 'type': 'AABB', 'world_P_center': [-55.115318298339844, -103.318115234375, -0.2782690227031708], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306965, Position: (-41.0244255065918, -104.3488540649414, -1.1123465299606323), Name: building, Bounding Box: {'max': [-37.250003814697266, -102.25, -1.073284387588501], 'min': [-44.650001525878906, -106.25000762939453, -1.149999976158142], 'type': 'AABB', 'world_P_center': [-40.95000457763672, -104.25, -1.1116421222686768], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306983, Position: (-40.02962875366211, -112.52180480957031, -1.229305624961853), Name: building, Bounding Box: {'max': [-38.150001525878906, -110.6500015258789, -1.1827845573425293], 'min': [-42.35000228881836, -113.95000457763672, -1.3146876096725464], 'type': 'AABB', 'world_P_center': [-40.25, -112.30000305175781, -1.2487361431121826], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306985, Position: (-33.77870559692383, -101.81184387207031, -1.0321093797683716), Name: building, Bounding Box: {'max': [-31.950000762939453, -100.6500015258789, -0.9104080200195312], 'min': [-35.650001525878906, -103.25, -1.0499999523162842], 'type': 'AABB', 'world_P_center': [-33.80000305175781, -101.94999694824219, -0.9802039861679077], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306986, Position: (-35.97225570678711, -103.63947296142578, -1.079939365386963), Name: building, Bounding Box: {'max': [-35.05000305175781, -103.3499984741211, -1.0402929782867432], 'min': [-36.75, -104.05000305175781, -1.149999976158142], 'type': 'AABB', 'world_P_center': [-35.900001525878906, -103.69999694824219, -1.0951464176177979], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306988, Position: (-30.703758239746094, -101.78606414794922, -1.0384881496429443), Name: building, Bounding Box: {'max': [-28.42906379699707, -100.6500015258789, -1.0018126964569092], 'min': [-33.55000305175781, -104.05000305175781, -1.0499999523162842], 'type': 'AABB', 'world_P_center': [-30.989532470703125, -102.35000610351562, -1.0259063243865967], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
